before ##############################
cost: 2.22463e-08
total mass  : 125.664
partial mass: 125.664
XM
0.8 0 1.25664
0.798421 0.0502324 1.25664
0.793692 0.100267 1.25664
0.78583 0.149905 1.25664
0.774867 0.198952 1.25664
0.760845 0.247214 1.25664
0.743821 0.2945 1.25664
0.723862 0.340623 1.25664
0.701045 0.385403 1.25664
0.675462 0.428661 1.25664
0.647214 0.470228 1.25664
0.616411 0.509939 1.25664
0.583175 0.547638 1.25664
0.547638 0.583175 1.25664
0.509939 0.616411 1.25664
0.470228 0.647214 1.25664
0.428661 0.675462 1.25664
0.385403 0.701045 1.25664
0.340623 0.723862 1.25664
0.2945 0.743821 1.25664
0.247214 0.760845 1.25664
0.198952 0.774867 1.25664
0.149905 0.78583 1.25664
0.100267 0.793692 1.25664
0.0502324 0.798421 1.25664
4.89859e-17 0.8 1.25664
-0.0502324 0.798421 1.25664
-0.100267 0.793692 1.25664
-0.149905 0.78583 1.25664
-0.198952 0.774867 1.25664
-0.247214 0.760845 1.25664
-0.2945 0.743821 1.25664
-0.340623 0.723862 1.25664
-0.385403 0.701045 1.25664
-0.428661 0.675462 1.25664
-0.470228 0.647214 1.25664
-0.509939 0.616411 1.25664
-0.547638 0.583175 1.25664
-0.583175 0.547638 1.25664
-0.616411 0.509939 1.25664
-0.647214 0.470228 1.25664
-0.675462 0.428661 1.25664
-0.701045 0.385403 1.25664
-0.723862 0.340623 1.25664
-0.743821 0.2945 1.25664
-0.760845 0.247214 1.25664
-0.774867 0.198952 1.25664
-0.78583 0.149905 1.25664
-0.793692 0.100267 1.25664
-0.798421 0.0502324 1.25664
-0.8 9.79717e-17 1.25664
-0.798421 -0.0502324 1.25664
-0.793692 -0.100267 1.25664
-0.78583 -0.149905 1.25664
-0.774867 -0.198952 1.25664
-0.760845 -0.247214 1.25664
-0.743821 -0.2945 1.25664
-0.723862 -0.340623 1.25664
-0.701045 -0.385403 1.25664
-0.675462 -0.428661 1.25664
-0.647214 -0.470228 1.25664
-0.616411 -0.509939 1.25664
-0.583175 -0.547638 1.25664
-0.547638 -0.583175 1.25664
-0.509939 -0.616411 1.25664
-0.470228 -0.647214 1.25664
-0.428661 -0.675462 1.25664
-0.385403 -0.701045 1.25664
-0.340623 -0.723862 1.25664
-0.2945 -0.743821 1.25664
-0.247214 -0.760845 1.25664
-0.198952 -0.774867 1.25664
-0.149905 -0.78583 1.25664
-0.100267 -0.793692 1.25664
-0.0502324 -0.798421 1.25664
-1.46958e-16 -0.8 1.25664
0.0502324 -0.798421 1.25664
0.100267 -0.793692 1.25664
0.149905 -0.78583 1.25664
0.198952 -0.774867 1.25664
0.247214 -0.760845 1.25664
0.2945 -0.743821 1.25664
0.340623 -0.723862 1.25664
0.385403 -0.701045 1.25664
0.428661 -0.675462 1.25664
0.470228 -0.647214 1.25664
0.509939 -0.616411 1.25664
0.547638 -0.583175 1.25664
0.583175 -0.547638 1.25664
0.616411 -0.509939 1.25664
0.647214 -0.470228 1.25664
0.675462 -0.428661 1.25664
0.701045 -0.385403 1.25664
0.723862 -0.340623 1.25664
0.743821 -0.2945 1.25664
0.760845 -0.247214 1.25664
0.774867 -0.198952 1.25664
0.78583 -0.149905 1.25664
0.793692 -0.100267 1.25664
0.798421 -0.0502324 1.25664
#####################################
-----------------------------------
counter: 1
cost: 1.30999e-09
total mass  : 52.9418
partial mass: 52.9418
XM
0.473602 1.44801e-10 0.529417
0.473433 0.0419071 0.529417
0.4729 0.0833618 0.529417
0.471924 0.123924 0.529418
0.470378 0.163176 0.529418
0.468092 0.200736 0.529418
0.464859 0.236266 0.529418
0.460444 0.269477 0.529418
0.454592 0.300141 0.529418
0.447042 0.328093 0.529419
0.437536 0.35323 0.529419
0.42583 0.375518 0.529419
0.411706 0.394981 0.529419
0.394981 0.411706 0.529419
0.375518 0.42583 0.529419
0.35323 0.437536 0.529419
0.328093 0.447042 0.529419
0.300141 0.454592 0.529418
0.269477 0.460444 0.529418
0.236266 0.464859 0.529418
0.200736 0.468092 0.529418
0.163176 0.470378 0.529418
0.123924 0.471924 0.529418
0.0833618 0.4729 0.529417
0.0419071 0.473433 0.529417
-1.11047e-10 0.473602 0.529417
-0.0419071 0.473433 0.529417
-0.0833618 0.4729 0.529417
-0.123924 0.471924 0.529418
-0.163176 0.470378 0.529418
-0.200736 0.468092 0.529418
-0.236266 0.464859 0.529418
-0.269477 0.460444 0.529418
-0.300141 0.454592 0.529418
-0.328093 0.447042 0.529419
-0.35323 0.437536 0.529419
-0.375518 0.42583 0.529419
-0.394981 0.411706 0.529419
-0.411706 0.394981 0.529419
-0.42583 0.375518 0.529419
-0.437536 0.35323 0.529419
-0.447042 0.328093 0.529419
-0.454592 0.300141 0.529418
-0.460444 0.269477 0.529418
-0.464859 0.236266 0.529418
-0.468092 0.200736 0.529418
-0.470378 0.163176 0.529418
-0.471924 0.123924 0.529418
-0.4729 0.0833618 0.529417
-0.473433 0.0419071 0.529417
-0.473602 1.55291e-10 0.529417
-0.473433 -0.0419071 0.529417
-0.4729 -0.0833618 0.529417
-0.471924 -0.123924 0.529418
-0.470378 -0.163176 0.529418
-0.468092 -0.200736 0.529418
-0.464859 -0.236266 0.529418
-0.460444 -0.269477 0.529418
-0.454592 -0.300141 0.529418
-0.447042 -0.328093 0.529419
-0.437536 -0.35323 0.529419
-0.42583 -0.375518 0.529419
-0.411706 -0.394981 0.529419
-0.394981 -0.411706 0.529419
-0.375518 -0.42583 0.529419
-0.35323 -0.437536 0.529419
-0.328093 -0.447042 0.529419
-0.300141 -0.454592 0.529418
-0.269477 -0.460444 0.529418
-0.236266 -0.464859 0.529418
-0.200736 -0.468092 0.529418
-0.163176 -0.470378 0.529418
-0.123924 -0.471924 0.529418
-0.0833618 -0.4729 0.529417
-0.0419071 -0.473433 0.529417
-3.75243e-11 -0.473602 0.529417
0.0419071 -0.473433 0.529417
0.0833618 -0.4729 0.529417
0.123924 -0.471924 0.529418
0.163176 -0.470378 0.529418
0.200736 -0.468092 0.529418
0.236266 -0.464859 0.529418
0.269477 -0.460444 0.529418
0.300141 -0.454592 0.529418
0.328093 -0.447042 0.529419
0.35323 -0.437536 0.529419
0.375518 -0.42583 0.529419
0.394981 -0.411706 0.529419
0.411706 -0.394981 0.529419
0.42583 -0.375518 0.529419
0.437536 -0.35323 0.529419
0.447042 -0.328093 0.529419
0.454592 -0.300141 0.529418
0.460444 -0.269477 0.529418
0.464859 -0.236266 0.529418
0.468092 -0.200736 0.529418
0.470378 -0.163176 0.529418
0.471924 -0.123924 0.529418
0.4729 -0.0833618 0.529417
0.473433 -0.0419071 0.529417
-----------------------------------
-----------------------------------
counter: 2
cost: 1.30999e-09
total mass  : 52.9338
partial mass: 52.9338
XM
0.4496 1.13521e-10 0.529337
0.450019 0.0482425 0.529338
0.451228 0.0958381 0.529338
0.453079 0.142158 0.529338
