before ##############################
cost: 0.00417907
total mass  : 125.664
partial mass: 125.664
XM
0.5 0 1.25664
0.499013 0.0313953 1.25664
0.496057 0.0626666 1.25664
0.491144 0.0936907 1.25664
0.484292 0.124345 1.25664
0.475528 0.154508 1.25664
0.464888 0.184062 1.25664
0.452414 0.21289 1.25664
0.438153 0.240877 1.25664
0.422164 0.267913 1.25664
0.404508 0.293893 1.25664
0.385257 0.318712 1.25664
0.364484 0.342274 1.25664
0.342274 0.364484 1.25664
0.318712 0.385257 1.25664
0.293893 0.404508 1.25664
0.267913 0.422164 1.25664
0.240877 0.438153 1.25664
0.21289 0.452414 1.25664
0.184062 0.464888 1.25664
0.154508 0.475528 1.25664
0.124345 0.484292 1.25664
0.0936907 0.491144 1.25664
0.0626666 0.496057 1.25664
0.0313953 0.499013 1.25664
3.06162e-17 0.5 1.25664
-0.0313953 0.499013 1.25664
-0.0626666 0.496057 1.25664
-0.0936907 0.491144 1.25664
-0.124345 0.484292 1.25664
-0.154508 0.475528 1.25664
-0.184062 0.464888 1.25664
-0.21289 0.452414 1.25664
-0.240877 0.438153 1.25664
-0.267913 0.422164 1.25664
-0.293893 0.404508 1.25664
-0.318712 0.385257 1.25664
-0.342274 0.364484 1.25664
-0.364484 0.342274 1.25664
-0.385257 0.318712 1.25664
-0.404508 0.293893 1.25664
-0.422164 0.267913 1.25664
-0.438153 0.240877 1.25664
-0.452414 0.21289 1.25664
-0.464888 0.184062 1.25664
-0.475528 0.154508 1.25664
-0.484292 0.124345 1.25664
-0.491144 0.0936907 1.25664
-0.496057 0.0626666 1.25664
-0.499013 0.0313953 1.25664
-0.5 6.12323e-17 1.25664
-0.499013 -0.0313953 1.25664
-0.496057 -0.0626666 1.25664
-0.491144 -0.0936907 1.25664
-0.484292 -0.124345 1.25664
-0.475528 -0.154508 1.25664
-0.464888 -0.184062 1.25664
-0.452414 -0.21289 1.25664
-0.438153 -0.240877 1.25664
-0.422164 -0.267913 1.25664
-0.404508 -0.293893 1.25664
-0.385257 -0.318712 1.25664
-0.364484 -0.342274 1.25664
-0.342274 -0.364484 1.25664
-0.318712 -0.385257 1.25664
-0.293893 -0.404508 1.25664
-0.267913 -0.422164 1.25664
-0.240877 -0.438153 1.25664
-0.21289 -0.452414 1.25664
-0.184062 -0.464888 1.25664
-0.154508 -0.475528 1.25664
-0.124345 -0.484292 1.25664
-0.0936907 -0.491144 1.25664
-0.0626666 -0.496057 1.25664
-0.0313953 -0.499013 1.25664
-9.18485e-17 -0.5 1.25664
0.0313953 -0.499013 1.25664
0.0626666 -0.496057 1.25664
0.0936907 -0.491144 1.25664
0.124345 -0.484292 1.25664
0.154508 -0.475528 1.25664
0.184062 -0.464888 1.25664
0.21289 -0.452414 1.25664
0.240877 -0.438153 1.25664
0.267913 -0.422164 1.25664
0.293893 -0.404508 1.25664
0.318712 -0.385257 1.25664
0.342274 -0.364484 1.25664
0.364484 -0.342274 1.25664
0.385257 -0.318712 1.25664
0.404508 -0.293893 1.25664
0.422164 -0.267913 1.25664
0.438153 -0.240877 1.25664
0.452414 -0.21289 1.25664
0.464888 -0.184062 1.25664
0.475528 -0.154508 1.25664
0.484292 -0.124345 1.25664
0.491144 -0.0936907 1.25664
0.496057 -0.0626666 1.25664
0.499013 -0.0313953 1.25664
#####################################
-----------------------------------
counter: 1
cost: 3.14457e-08
total mass  : 44.7687
partial mass: 44.7687
XM
0.397236 2.54561e-17 0.448384
0.396442 0.0137471 0.448379
0.394061 0.0274455 0.448362
0.390104 0.0410464 0.448335
0.38459 0.0545012 0.448297
0.377541 0.0677612 0.44825
0.368989 0.0807778 0.448194
0.358971 0.0935026 0.44813
0.347531 0.105887 0.448059
0.334716 0.117884 0.447982
0.320583 0.129446 0.4479
0.30519 0.140525 0.447816
0.288604 0.151077 0.447729
0.270892 0.161056 0.447641
0.252128 0.170419 0.447555
0.232389 0.179125 0.44747
0.211754 0.187134 0.447389
0.190305 0.194408 0.447313
0.168129 0.200914 0.447243
0.145312 0.206619 0.44718
0.121943 0.211496 0.447124
0.0981119 0.215521 0.447078
0.0739095 0.218673 0.447041
0.0494283 0.220936 0.447014
0.0247608 0.222298 0.446998
8.11878e-16 0.222753 0.446993
-0.0247608 0.222298 0.446998
-0.0494283 0.220936 0.447014
-0.0739095 0.218673 0.447041
-0.0981119 0.215521 0.447078
-0.121943 0.211496 0.447124
-0.145312 0.206619 0.44718
-0.168129 0.200914 0.447243
-0.190305 0.194408 0.447313
-0.211754 0.187134 0.447389
-0.232389 0.179125 0.44747
-0.252128 0.170419 0.447555
-0.270892 0.161056 0.447641
-0.288604 0.151077 0.447729
-0.30519 0.140525 0.447816
-0.320583 0.129446 0.4479
-0.334716 0.117884 0.447982
