before ##############################
cost: 0.0010433
total mass  : 125.664
partial mass: 125.664
XM
0.8 0 1.25664
0.798421 0.0502324 1.25664
0.793692 0.100267 1.25664
0.78583 0.149905 1.25664
0.774867 0.198952 1.25664
0.760845 0.247214 1.25664
0.743821 0.2945 1.25664
0.723862 0.340623 1.25664
0.701045 0.385403 1.25664
0.675462 0.428661 1.25664
0.647214 0.470228 1.25664
0.616411 0.509939 1.25664
0.583175 0.547638 1.25664
0.547638 0.583175 1.25664
0.509939 0.616411 1.25664
0.470228 0.647214 1.25664
0.428661 0.675462 1.25664
0.385403 0.701045 1.25664
0.340623 0.723862 1.25664
0.2945 0.743821 1.25664
0.247214 0.760845 1.25664
0.198952 0.774867 1.25664
0.149905 0.78583 1.25664
0.100267 0.793692 1.25664
0.0502324 0.798421 1.25664
4.89859e-17 0.8 1.25664
-0.0502324 0.798421 1.25664
-0.100267 0.793692 1.25664
-0.149905 0.78583 1.25664
-0.198952 0.774867 1.25664
-0.247214 0.760845 1.25664
-0.2945 0.743821 1.25664
-0.340623 0.723862 1.25664
-0.385403 0.701045 1.25664
-0.428661 0.675462 1.25664
-0.470228 0.647214 1.25664
-0.509939 0.616411 1.25664
-0.547638 0.583175 1.25664
-0.583175 0.547638 1.25664
-0.616411 0.509939 1.25664
-0.647214 0.470228 1.25664
-0.675462 0.428661 1.25664
-0.701045 0.385403 1.25664
-0.723862 0.340623 1.25664
-0.743821 0.2945 1.25664
-0.760845 0.247214 1.25664
-0.774867 0.198952 1.25664
-0.78583 0.149905 1.25664
-0.793692 0.100267 1.25664
-0.798421 0.0502324 1.25664
-0.8 9.79717e-17 1.25664
-0.798421 -0.0502324 1.25664
-0.793692 -0.100267 1.25664
-0.78583 -0.149905 1.25664
-0.774867 -0.198952 1.25664
-0.760845 -0.247214 1.25664
-0.743821 -0.2945 1.25664
-0.723862 -0.340623 1.25664
-0.701045 -0.385403 1.25664
-0.675462 -0.428661 1.25664
-0.647214 -0.470228 1.25664
-0.616411 -0.509939 1.25664
-0.583175 -0.547638 1.25664
-0.547638 -0.583175 1.25664
-0.509939 -0.616411 1.25664
-0.470228 -0.647214 1.25664
-0.428661 -0.675462 1.25664
-0.385403 -0.701045 1.25664
-0.340623 -0.723862 1.25664
-0.2945 -0.743821 1.25664
-0.247214 -0.760845 1.25664
-0.198952 -0.774867 1.25664
-0.149905 -0.78583 1.25664
-0.100267 -0.793692 1.25664
-0.0502324 -0.798421 1.25664
-1.46958e-16 -0.8 1.25664
0.0502324 -0.798421 1.25664
0.100267 -0.793692 1.25664
0.149905 -0.78583 1.25664
0.198952 -0.774867 1.25664
0.247214 -0.760845 1.25664
0.2945 -0.743821 1.25664
0.340623 -0.723862 1.25664
0.385403 -0.701045 1.25664
0.428661 -0.675462 1.25664
0.470228 -0.647214 1.25664
0.509939 -0.616411 1.25664
0.547638 -0.583175 1.25664
0.583175 -0.547638 1.25664
0.616411 -0.509939 1.25664
0.647214 -0.470228 1.25664
0.675462 -0.428661 1.25664
0.701045 -0.385403 1.25664
0.723862 -0.340623 1.25664
0.743821 -0.2945 1.25664
0.760845 -0.247214 1.25664
0.774867 -0.198952 1.25664
0.78583 -0.149905 1.25664
0.793692 -0.100267 1.25664
0.798421 -0.0502324 1.25664
#####################################
-----------------------------------
counter: 1
cost: 1.17384e-11
total mass  : 44.4935
partial mass: 44.4935
XM
0.283281 8.37617e-12 0.444935
0.282721 0.0177863 0.444935
0.281047 0.0355024 0.444935
0.278262 0.0530785 0.444935
0.27438 0.0704451 0.444935
0.269414 0.0875339 0.444935
0.263385 0.104277 0.444935
0.256317 0.120609 0.444935
0.248237 0.136465 0.444935
0.239178 0.151783 0.444935
0.229174 0.166502 0.444935
0.218266 0.180564 0.444935
0.206497 0.193913 0.444935
0.193913 0.206497 0.444935
0.180564 0.218266 0.444935
0.166502 0.229174 0.444935
0.151783 0.239178 0.444935
0.136465 0.248237 0.444935
0.120609 0.256317 0.444935
0.104277 0.263385 0.444935
0.0875339 0.269414 0.444935
0.0704451 0.27438 0.444935
0.0530785 0.278262 0.444935
0.0355024 0.281047 0.444935
0.0177863 0.282721 0.444935
-9.94325e-11 0.283281 0.444935
-0.0177863 0.282721 0.444935
-0.0355024 0.281047 0.444935
-0.0530785 0.278262 0.444935
-0.0704451 0.27438 0.444935
-0.0875339 0.269414 0.444935
-0.104277 0.263385 0.444935
-0.120609 0.256317 0.444935
-0.136465 0.248237 0.444935
-0.151783 0.239178 0.444935
-0.166502 0.229174 0.444935
-0.180564 0.218266 0.444935
-0.193913 0.206497 0.444935
-0.206497 0.193913 0.444935
-0.218266 0.180564 0.444935
-0.229174 0.166502 0.444935
-0.239178 0.151783 0.444935
-0.248237 0.136465 0.444935
-0.256317 0.120609 0.444935
-0.263385 0.104277 0.444935
-0.269414 0.0875339 0.444935
-0.27438 0.0704451 0.444935
-0.278262 0.0530785 0.444935
-0.281047 0.0355024 0.444935
-0.282721 0.0177863 0.444935
-0.283281 -2.02025e-10 0.444935
-0.282721 -0.0177863 0.444935
-0.281047 -0.0355024 0.444935
-0.278262 -0.0530785 0.444935
-0.27438 -0.0704451 0.444935
-0.269414 -0.0875339 0.444935
-0.263385 -0.104277 0.444935
-0.256317 -0.120609 0.444935
-0.248237 -0.136465 0.444935
-0.239178 -0.151783 0.444935
-0.229174 -0.166502 0.444935
-0.218266 -0.180564 0.444935
-0.206497 -0.193913 0.444935
-0.193913 -0.206497 0.444935
-0.180564 -0.218266 0.444935
-0.166502 -0.229174 0.444935
-0.151783 -0.239178 0.444935
-0.136465 -0.248237 0.444935
-0.120609 -0.256317 0.444935
-0.104277 -0.263385 0.444935
-0.0875339 -0.269414 0.444935
-0.0704451 -0.27438 0.444935
-0.0530785 -0.278262 0.444935
-0.0355024 -0.281047 0.444935
-0.0177863 -0.282721 0.444935
2.16279e-10 -0.283281 0.444935
0.0177863 -0.282721 0.444935
0.0355024 -0.281047 0.444935
0.0530785 -0.278262 0.444935
0.0704451 -0.27438 0.444935
0.0875339 -0.269414 0.444935
0.104277 -0.263385 0.444935
0.120609 -0.256317 0.444935
0.136465 -0.248237 0.444935
0.151783 -0.239178 0.444935
0.166502 -0.229174 0.444935
0.180564 -0.218266 0.444935
0.193913 -0.206497 0.444935
0.206497 -0.193913 0.444935
0.218266 -0.180564 0.444935
0.229174 -0.166502 0.444935
0.239178 -0.151783 0.444935
0.248237 -0.136465 0.444935
0.256317 -0.120609 0.444935
0.263385 -0.104277 0.444935
0.269414 -0.0875339 0.444935
0.27438 -0.0704451 0.444935
0.278262 -0.0530785 0.444935
0.281047 -0.0355024 0.444935
0.282721 -0.0177863 0.444935
-----------------------------------
-----------------------------------
counter: 2
cost: 1.17361e-19
total mass  : 44.4849
partial mass: 44.4849
XM
0.283226 8.96591e-12 0.444849
0.282667 0.0177829 0.444849
