before ##############################
cost: 0.417967
total mass  : 125.664
partial mass: 125.664
XM
0.5 0 1.25664
0.499013 0.0313953 1.25664
0.496057 0.0626666 1.25664
0.491144 0.0936907 1.25664
0.484292 0.124345 1.25664
0.475528 0.154508 1.25664
0.464888 0.184062 1.25664
0.452414 0.21289 1.25664
0.438153 0.240877 1.25664
0.422164 0.267913 1.25664
0.404508 0.293893 1.25664
0.385257 0.318712 1.25664
0.364484 0.342274 1.25664
0.342274 0.364484 1.25664
0.318712 0.385257 1.25664
0.293893 0.404508 1.25664
0.267913 0.422164 1.25664
0.240877 0.438153 1.25664
0.21289 0.452414 1.25664
0.184062 0.464888 1.25664
0.154508 0.475528 1.25664
0.124345 0.484292 1.25664
0.0936907 0.491144 1.25664
0.0626666 0.496057 1.25664
0.0313953 0.499013 1.25664
3.06162e-17 0.5 1.25664
-0.0313953 0.499013 1.25664
-0.0626666 0.496057 1.25664
-0.0936907 0.491144 1.25664
-0.124345 0.484292 1.25664
-0.154508 0.475528 1.25664
-0.184062 0.464888 1.25664
-0.21289 0.452414 1.25664
-0.240877 0.438153 1.25664
-0.267913 0.422164 1.25664
-0.293893 0.404508 1.25664
-0.318712 0.385257 1.25664
-0.342274 0.364484 1.25664
-0.364484 0.342274 1.25664
-0.385257 0.318712 1.25664
-0.404508 0.293893 1.25664
-0.422164 0.267913 1.25664
-0.438153 0.240877 1.25664
-0.452414 0.21289 1.25664
-0.464888 0.184062 1.25664
-0.475528 0.154508 1.25664
-0.484292 0.124345 1.25664
-0.491144 0.0936907 1.25664
-0.496057 0.0626666 1.25664
-0.499013 0.0313953 1.25664
-0.5 6.12323e-17 1.25664
-0.499013 -0.0313953 1.25664
-0.496057 -0.0626666 1.25664
-0.491144 -0.0936907 1.25664
-0.484292 -0.124345 1.25664
-0.475528 -0.154508 1.25664
-0.464888 -0.184062 1.25664
-0.452414 -0.21289 1.25664
-0.438153 -0.240877 1.25664
-0.422164 -0.267913 1.25664
-0.404508 -0.293893 1.25664
-0.385257 -0.318712 1.25664
-0.364484 -0.342274 1.25664
-0.342274 -0.364484 1.25664
-0.318712 -0.385257 1.25664
-0.293893 -0.404508 1.25664
-0.267913 -0.422164 1.25664
-0.240877 -0.438153 1.25664
-0.21289 -0.452414 1.25664
-0.184062 -0.464888 1.25664
-0.154508 -0.475528 1.25664
-0.124345 -0.484292 1.25664
-0.0936907 -0.491144 1.25664
-0.0626666 -0.496057 1.25664
-0.0313953 -0.499013 1.25664
-9.18485e-17 -0.5 1.25664
0.0313953 -0.499013 1.25664
0.0626666 -0.496057 1.25664
0.0936907 -0.491144 1.25664
0.124345 -0.484292 1.25664
0.154508 -0.475528 1.25664
0.184062 -0.464888 1.25664
0.21289 -0.452414 1.25664
0.240877 -0.438153 1.25664
0.267913 -0.422164 1.25664
0.293893 -0.404508 1.25664
0.318712 -0.385257 1.25664
0.342274 -0.364484 1.25664
0.364484 -0.342274 1.25664
0.385257 -0.318712 1.25664
0.404508 -0.293893 1.25664
0.422164 -0.267913 1.25664
0.438153 -0.240877 1.25664
0.452414 -0.21289 1.25664
0.464888 -0.184062 1.25664
0.475528 -0.154508 1.25664
0.484292 -0.124345 1.25664
0.491144 -0.0936907 1.25664
0.496057 -0.0626666 1.25664
0.499013 -0.0313953 1.25664
#####################################
-----------------------------------
counter: 1
cost: 6.31072e-07
total mass  : 44.5815
partial mass: 44.5815
XM
0.266309 -2.0326e-17 0.445951
0.265773 0.00570807 0.44595
0.264166 0.0113985 0.445947
0.261496 0.0170536 0.445942
0.257775 0.0226554 0.445934
0.253021 0.0281856 0.445925
0.247256 0.0336257 0.445914
0.240505 0.0389568 0.445902
0.232799 0.0441593 0.445888
0.224174 0.0492136 0.445873
0.214666 0.0540994 0.445857
0.204318 0.0587965 0.44584
0.193174 0.0632843 0.445823
0.181282 0.0675423 0.445806
0.168691 0.0715502 0.445789
0.155454 0.0752882 0.445772
0.141625 0.078737 0.445757
0.127258 0.0818782 0.445742
0.112411 0.0846947 0.445728
0.0971422 0.0871703 0.445715
0.0815098 0.0892908 0.445705
0.0655737 0.0910436 0.445695
0.0493939 0.0924183 0.445688
0.0330311 0.0934063 0.445683
0.0165461 0.0940015 0.44568
1.13149e-17 0.0942004 0.445679
-0.0165461 0.0940015 0.44568
-0.0330311 0.0934063 0.445683
-0.0493939 0.0924183 0.445688
-0.0655737 0.0910436 0.445695
-0.0815098 0.0892908 0.445705
-0.0971422 0.0871703 0.445715
-0.112411 0.0846947 0.445728
-0.127258 0.0818782 0.445742
-0.141625 0.078737 0.445757
-0.155454 0.0752882 0.445772
-0.168691 0.0715502 0.445789
-0.181282 0.0675423 0.445806
-0.193174 0.0632843 0.445823
-0.204318 0.0587965 0.44584
